SampleID	FamilyID	Population	Gender
HG01384	CLM40	CLM	female
HG01389	CLM42	CLM	male
HG01390	CLM42	CLM	female
HG01392	PR70	PUR	male
HG01393	PR70	PUR	female
HG01395	PR71	PUR	male
HG01396	PR71	PUR	female
HG01398	PR72	PUR	male
HG01402	PR74	PUR	male
HG01403	PR74	PUR	female
HG01405	PR75	PUR	male
HG01412	PR76	PUR	male
HG01413	PR78	PUR	male
HG01414	PR78	PUR	female
HG01431	CLM43	CLM	male
HG01432	CLM43	CLM	female
HG01435	CLM44	CLM	female
HG01437	CLM45	CLM	male
HG01438	CLM45	CLM	female
HG01440	CLM46a	CLM	male
HG01441	CLM46	CLM	female
HG01443	CLM47	CLM	male
HG01444	CLM47	CLM	female
HG01447	CLM48	CLM	female
HG01455	CLM51	CLM	male
HG01456	CLM51	CLM	female
HG01459	CLM52	CLM	female
HG01461	CLM53	CLM	male
HG01462	CLM53	CLM	female
HG01464	CLM54	CLM	male
HG01465	CLM54	CLM	female
HG01468	CLM55	CLM	female
HG01474	CLM57	CLM	female
HG01479	CLM59	CLM	male
HG01485	CLM61	CLM	male
HG01486	CLM61	CLM	female
HG01488	CLM62	CLM	male
HG01489	CLM62	CLM	female
HG01491	CLM63	CLM	male
HG01492	CLM63	CLM	female
HG01494	CLM64	CLM	male
HG01495	CLM64	CLM	female
HG01497	CLM65	CLM	male
HG01498	CLM65	CLM	female
HG01500	IBS001	IBS	male
HG01501	IBS001	IBS	female
HG01503	IBS002	IBS	male
HG01504	IBS002	IBS	female
HG01506	IBS003	IBS	male
HG01507	IBS003	IBS	female
HG01509	IBS004	IBS	male
HG01510	IBS004	IBS	female
HG01512	IBS005	IBS	male
HG01513	IBS005	IBS	female
HG01515	IBS006	IBS	male
HG01516	IBS006	IBS	female
HG01518	IBS007	IBS	male
HG01519	IBS007	IBS	female
HG01521	IBS008	IBS	male
HG01522	IBS008	IBS	female
HG01524	IBS009	IBS	male
HG01525	IBS009	IBS	female
HG01527	IBS010	IBS	male
HG01528	IBS010	IBS	female
HG01530	IBS011	IBS	male
HG01531	IBS011	IBS	female
HG01536	IBS013	IBS	male
HG01537	IBS013	IBS	female
HG01550	CLM66	CLM	male
HG01551	CLM66	CLM	female
HG01556	CLM68	CLM	male
HG01565	PEL001	PEL	male
HG01566	PEL001	PEL	female
HG01571	PEL003	PEL	male
HG01572	PEL003	PEL	female
HG01577	PEL005	PEL	male
HG01578	PEL005	PEL	female
HG01583	PK02	PJL	male
HG01586	PK03	PJL	male
HG01589	PK04	PJL	male
HG01593	PK05	PJL	female
HG01595	VN001	KHV	female
HG01596	VN002	KHV	male
HG01597	VN003	KHV	female
HG01598	VN004	KHV	female
HG01599	VN005	KHV	female
HG01600	VN006	KHV	female
HG01602	IBS024	IBS	female
HG01603	IBS024	IBS	male
HG01605	IBS023	IBS	female
HG01606	IBS023	IBS	male
HG01607	IBS022	IBS	female
HG01608	IBS022	IBS	male
HG01610	IBS021	IBS	male
HG01612	IBS021	IBS	female
HG01613	IBS020	IBS	female
HG01615	IBS020	IBS	male
HG01617	IBS019	IBS	male
HG01618	IBS019	IBS	female
HG01619	IBS018	IBS	male
HG01620	IBS018	IBS	female
HG01623	IBS017	IBS	female
HG01624	IBS017	IBS	male
HG01625	IBS016	IBS	male
HG01626	IBS016	IBS	female
HG01628	IBS015	IBS	female
HG01630	IBS015	IBS	male
HG01631	IBS014	IBS	male
HG01632	IBS014	IBS	female
HG01668	IBS025	IBS	female
HG01669	IBS025	IBS	male
HG01670	IBS026	IBS	female
HG01672	IBS026	IBS	male
HG01673	IBS027	IBS	female
HG01675	IBS027	IBS	male
HG01676	IBS028	IBS	female
HG01678	IBS028	IBS	male
HG01679	IBS029	IBS	female
HG01680	IBS029	IBS	male
HG01682	IBS030	IBS	male
HG01684	IBS030	IBS	female
HG01685	IBS031	IBS	female
HG01686	IBS031	IBS	male
HG01694	IBS034	IBS	male
HG01695	IBS034	IBS	female
HG01697	IBS035	IBS	female
HG01699	IBS035	IBS	male
HG01700	IBS036	IBS	male
HG01702	IBS036	IBS	female
HG01704	IBS037	IBS	female
HG01705	IBS037	IBS	male
HG01707	IBS038	IBS	female
HG01708	IBS038	IBS	male
HG01709	IBS039	IBS	male
HG01710	IBS039	IBS	female
HG01746	IBS041	IBS	female
HG01747	IBS041	IBS	male
HG01756	IBS044	IBS	male
HG01757	IBS044	IBS	female
HG01761	IBS046	IBS	male
HG01762	IBS046	IBS	female
HG01765	IBS047	IBS	male
HG01766	IBS047	IBS	female
HG01767	IBS048	IBS	male
HG01768	IBS048	IBS	female
HG01770	IBS049	IBS	female
HG01771	IBS049	IBS	male
HG01773	IBS050	IBS	female
HG01775	IBS050	IBS	male
HG01776	IBS051	IBS	female
HG01777	IBS051	IBS	male
HG01779	IBS052	IBS	female
HG01781	IBS052	IBS	male
HG01783	IBS053	IBS	male
HG01784	IBS053	IBS	female
HG01785	IBS054	IBS	male
HG01786	IBS054	IBS	female
HG01789	HG01789	GBR	male
HG01790	HG01790	GBR	female
HG01791	HG01791	GBR	male
HG01794	HG01794	CDX	female
HG01795	HG01795	CDX	female
HG01796	HG01796	CDX	female
HG01797	HG01797	CDX	female
HG01798	HG01798	CDX	female
HG01799	HG01799	CDX	female
HG01800	HG01800	CDX	female
HG01801	HG01801	CDX	female
HG01802	HG01802	CDX	female
HG01804	HG01804	CDX	female
HG01805	HG01805	CDX	female
HG01806	HG01806	CDX	female
HG01807	HG01807	CDX	female
HG01808	HG01808	CDX	female
HG01809	HG01809	CDX	female
HG01810	HG01810	CDX	male
HG01811	HG01811	CDX	male
HG01812	HG01812	CDX	female
HG01813	HG01813	CDX	female
HG01815	HG01815	CDX	female
HG01816	HG01816	CDX	male
HG01817	HG01817	CDX	female
HG01840	VN007	KHV	male
HG01841	VN008	KHV	female
HG01842	VN009	KHV	male
HG01843	VN010	KHV	female
HG01844	VN011	KHV	male
HG01845	VN012	KHV	female
HG01846	VN013	KHV	male
HG01847	VN014	KHV	female
HG01848	VN015	KHV	female
HG01849	VN016	KHV	male
HG01850	VN017	KHV	female
HG01851	VN018	KHV	female
HG01852	VN019	KHV	male
HG01853	VN020	KHV	female
HG01855	VN022	KHV	female
HG01857	VN024	KHV	female
HG01858	VN025	KHV	female
HG01859	VN026	KHV	female
HG01860	VN027	KHV	male
HG01861	VN028	KHV	male
HG01862	VN029	KHV	female
HG01863	VN030	KHV	female
HG01864	VN031	KHV	male
HG01865	VN032	KHV	male
HG01866	VN033	KHV	male
HG01867	VN034	KHV	male
HG01868	VN035	KHV	female
HG01869	VN036	KHV	female
HG01870	VN037	KHV	female
HG01871	VN038	KHV	female
HG01872	VN039	KHV	male
HG01873	VN040	KHV	male
HG01874	VN041	KHV	female
HG01878	VN045	KHV	female
HG01879	BB01	ACB	male
HG01880	BB01	ACB	female
HG01882	BB02	ACB	male
HG01883	BB02	ACB	female
HG01885	BB03	ACB	male
HG01886	BB04	ACB	female
